timestamp [s];actual_current [A];target_current [A];timestep [us];motor_torque [N.m];encoder_paddle_pos [deg];hall_voltage [V];stiffness [N.m/deg];resting_position [deg];led_0 [0.0-1.0];led_1 [0.0-1.0];led_2 [0.0-1.0];led_3 [0.0-1.0]
386.1354;-0.008855956607;0;350;0;-19.546875;1.714674234;0.009999999776;-18.91410065;0;0;0;0
386.13645;-0.008729379624;0;350;0;-19.546875;1.714674234;0.009999999776;-18.91410065;0;0;0;0
386.1375;-0.008830379695;0;350;0;-19.546875;1.714674234;0.009999999776;-18.91410065;0;0;0;0
386.13855;-0.009153456427;0;350;0;-19.546875;1.714674234;0.009999999776;-18.91410065;0;0;0;0
386.1396;-0.008687819354;0;350;0;-19.546875;1.714674234;0.009999999776;-18.91410065;0;0;0;0
386.1403;-0.008800348267;0;350;0;-19.546875;1.714674234;0.009999999776;-18.91410065;0;0;0;0
386.14135;-0.00871989876;0;350;0;-19.546875;1.714674234;0.009999999776;-18.91410065;0;0;0;0
386.1424;-0.00835968554;0;350;0;-19.546875;1.714674234;0.009999999776;-18.91410065;0;0;0;0
386.14345;-0.009098270908;0;350;0;-19.546875;1.714674234;0.009999999776;-18.91410065;0;0;0;0
386.1445;-0.00864570681;0;350;0;-19.546875;1.714674234;0.009999999776;-18.91410065;0;0;0;0
386.14555;-0.009231197648;0;350;0;-19.546875;1.714674234;0.009999999776;-18.91410065;0;0;0;0
386.14625;-0.008638685569;0;350;0;-19.546875;1.714674234;0.009999999776;-18.91410065;0;0;0;0
386.1473;-0.008610239252;0;350;0;-19.546875;1.714674234;0.009999999776;-18.91410065;0;0;0;0
386.14835;-0.009215577506;0;350;0;-19.546875;1.714674234;0.009999999776;-18.91410065;0;0;0;0
386.1494;-0.008202528581;0;350;0;-19.546875;1.714674234;0.009999999776;-18.91410065;0;0;0;0
386.15045;-0.008546858095;0;350;0;-19.546875;1.714674234;0.009999999776;-18.91410065;0;0;0;0
386.1515;-0.008812630549;0;350;0;-19.546875;1.714674234;0.009999999776;-18.91410065;0;0;0;0
386.15255;-0.008613486774;0;350;0;-19.546875;1.714674234;0.009999999776;-18.91410065;0;0;0;0
386.15325;-0.009170208126;0;350;0;-19.546875;1.714674234;0.009999999776;-18.91410065;0;0;0;0
386.1543;-0.00862931367;0;350;0;-19.546875;1.714674234;0.009999999776;-18.91410065;0;0;0;0
386.15535;-0.008805438876;0;350;0;-19.546875;1.714674234;0.009999999776;-18.91410065;0;0;0;0
386.1564;-0.008906929754;0;350;0;-19.546875;1.714674234;0.009999999776;-18.91410065;0;0;0;0
386.15745;-0.008488973603;0;350;0;-19.546875;1.714674234;0.009999999776;-18.91410065;0;0;0;0
386.1585;-0.009081589989;0;350;0;-19.546875;1.714674234;0.009999999776;-18.91410065;0;0;0;0
386.15955;-0.008348482661;0;350;0;-19.546875;1.714674234;0.009999999776;-18.91410065;0;0;0;0
386.16025;-0.009062583558;0;350;0;-19.546875;1.714674234;0.009999999776;-18.91410065;0;0;0;0
386.1613;-0.008852820843;0;350;0;-19.546875;1.714674234;0.009999999776;-18.91410065;0;0;0;0
